chunk,text,chunk_num,avg_zipf,avg_zipf_found_only,rare_term_ratio,not_found_ratio,total_terms,rare_terms,not_found_terms,char_count,lemma_count
Comp_Chunk1,Comp,1,5.6033,6.3782,0.1495,0.1215,214,32,26,1286,214
Comp_Chunk2,Comp,2,5.1616,6.1294,0.2325,0.1579,228,53,36,1484,228
Comp_Chunk3,Comp,3,5.3721,6.1885,0.2,0.1319,235,47,31,1534,235
Comp_Chunk4,Comp,4,5.6152,6.4013,0.1711,0.1228,228,39,28,1390,228
Comp_Chunk5,Comp,5,5.3839,6.2765,0.1927,0.1422,218,42,31,1448,218
Comp_Chunk6,Comp,6,5.6612,6.3969,0.17,0.115,200,34,23,1232,200
Comp_Chunk7,Comp,7,5.6126,6.2571,0.1931,0.103,233,45,24,1476,233
Comp_Chunk8,Comp,8,3.8403,5.4659,0.3966,0.2974,232,92,69,1491,232
Comp_Chunk9,Comp,9,5.1062,6.084,0.2054,0.1607,224,46,36,1481,224
Comp_Chunk10,Comp,10,3.4539,5.1808,0.4342,0.3333,228,99,76,1502,228
Mix_Chunk1,Mix,1,5.5509,6.3439,0.1528,0.125,216,33,27,1244,216
Mix_Chunk2,Mix,2,5.5826,6.333,0.1374,0.1185,211,29,25,1255,211
Mix_Chunk3,Mix,3,5.6632,6.3131,0.1176,0.1029,204,24,21,1267,204
Mix_Chunk4,Mix,4,5.8516,6.3368,0.1036,0.0766,222,23,17,1340,222
Mix_Chunk5,Mix,5,5.6285,6.3892,0.1571,0.119,210,33,25,1316,210
Mix_Chunk6,Mix,6,5.5455,6.403,0.1518,0.1339,224,34,30,1329,224
Mix_Chunk7,Mix,7,5.5807,6.2851,0.1552,0.1121,232,36,26,1403,232
Mix_Chunk8,Mix,8,5.6032,6.3381,0.1401,0.1159,207,29,24,1183,207
Mix_Chunk9,Mix,9,5.8169,6.3334,0.0944,0.0815,233,22,19,1373,233
Mix_Chunk10,Mix,10,5.3627,6.2977,0.1878,0.1485,229,43,34,1390,229
