chunk,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,COMET,text,TQS,APT
1,claude,0.2476742109744587,0.5236371770720206,0.4476934172218647,0.4991568296795953,0.911521852016449,0.7932829856872559,Comp,100.0,0.0
1,gemini,0.1996474453740387,0.5200971424684653,0.4101879957559506,0.466887417218543,0.9099530577659608,0.8013620972633362,Comp,99.36,2.0
1,openai,0.1927791756751777,0.4870206003329055,0.392741723995902,0.4436619718309859,0.905492901802063,0.7796459197998047,Comp,99.28,2.0
2,claude,0.1937841119779673,0.5143907036943031,0.471509141214257,0.5249597423510466,0.9042202234268188,0.7853946685791016,Comp,88.82,34.0
2,gemini,0.2635547498267358,0.5426767379691348,0.5150520137437234,0.5480314960629921,0.9129371047019958,0.7977873086929321,Comp,85.4,46.0
2,openai,0.2164444602546785,0.4957144765877475,0.4638315954936669,0.4875621890547263,0.8955069184303284,0.7584257125854492,Comp,85.96,40.0
3,claude,0.1622345903030502,0.4879393321557145,0.4210125939179699,0.4605873261205564,0.8981204628944397,0.7579604387283325,Comp,83.01,53.0
3,gemini,0.1492722334516551,0.4833741699664443,0.4185250155837729,0.4702380952380953,0.8920734524726868,0.728967010974884,Comp,88.29,39.0
3,openai,0.1089626771095285,0.4628599970622392,0.3901897900362607,0.4444444444444445,0.8917509317398071,0.7520345449447632,Comp,65.92,106.0
4,claude,0.1722008602172171,0.5205823460504878,0.4391731526612656,0.4690117252931323,0.9096811413764954,0.7564950585365295,Comp,89.75,29.0
4,gemini,0.2320487748645276,0.5369522584256763,0.4665571146618418,0.4847512038523274,0.909728467464447,0.7662883400917053,Comp,95.16,15.0
4,openai,0.2190766492226029,0.5110002682813551,0.4271672673604186,0.4797297297297297,0.907642662525177,0.7529981136322021,Comp,97.11,8.0
5,claude,0.1683966156439083,0.4895795463133073,0.4267687762529327,0.4285714285714286,0.9044652581214904,0.770469069480896,Comp,89.68,32.0
5,gemini,0.148536365164118,0.4730720262674864,0.4141536364993774,0.4153166421207658,0.8996868133544922,0.777133584022522,Comp,90.49,33.0
5,openai,0.1689397623229956,0.5001152359743738,0.4079584389388214,0.4386503067484662,0.9002916812896729,0.7724477052688599,Comp,88.4,37.0
6,claude,0.137637857415321,0.4730829821869544,0.4370486955475122,0.4630738522954091,0.905235230922699,0.7670793533325195,Comp,97.9,5.0
6,gemini,0.2139707880171853,0.5090970038484105,0.4533430225793838,0.4790874524714829,0.911162257194519,0.7868227958679199,Comp,95.77,11.0
6,openai,0.090836297675734,0.4503042460438378,0.4223897435097739,0.3992015968063871,0.90166974067688,0.7571812868118286,Comp,95.73,10.0
7,claude,0.1875743456373458,0.5212077195583464,0.4655925303426889,0.5053763440860215,0.9004546999931335,0.7986054420471191,Comp,94.22,16.0
7,gemini,0.1392867756785471,0.4942889174470009,0.4254136130955994,0.467005076142132,0.8898624181747437,0.7872167825698853,Comp,93.93,19.0
7,openai,0.1762396808645856,0.499782691511436,0.376398974884929,0.4990825688073395,0.8974189162254333,0.7800271511077881,Comp,97.75,6.0
8,claude,0.1940746557509406,0.4683863223051906,0.4422012382601248,0.4648117839607201,0.8683067560195923,0.7403029799461365,Comp,21.81,233.0
8,gemini,0.1804997984863212,0.4687952852362486,0.4273111215391835,0.4420731707317072,0.8720569610595703,0.7474030256271362,Comp,65.77,115.0
8,openai,0.0644087899235874,0.3644069911923623,0.3104110926667318,0.3350083752093802,0.8529567718505859,0.7330279350280762,Comp,0.0,350.0
9,claude,0.1362608638448779,0.4804046832228235,0.4293668821730962,0.4826254826254826,0.8962362408638,0.758519172668457,Comp,92.8,19.0
9,gemini,0.1971525825431989,0.5444761264260165,0.5294155515431971,0.5320754716981132,0.9031203389167786,0.7789208889007568,Comp,94.95,14.0
9,openai,0.1893417557069006,0.5492458508018273,0.5250895189881383,0.4818355640535373,0.9052199721336364,0.7763361930847168,Comp,82.84,46.0
10,claude,0.0664204074575298,0.4583277041796136,0.3130535772940369,0.4809688581314879,0.8670253157615662,0.7247991561889648,Comp,54.15,138.0
10,gemini,0.1761328943867083,0.5481053938281162,0.3821083099404266,0.4776632302405498,0.8870863318443298,0.7563774585723877,Comp,25.25,225.0
10,openai,0.1418089392216853,0.4194604718992101,0.2918646737717397,0.5656565656565656,0.8502401113510132,0.6459131836891174,Comp,35.98,137.0
1,claude,0.4572089216039059,0.5842728410155418,0.5578790705961099,0.6133828996282528,0.9285278916358948,0.8256305456161499,Mixtures,96.69,9.0
1,gemini,0.4106168583688129,0.5908252662994667,0.5345197703390749,0.6006825938566552,0.9338334202766418,0.8314502239227295,Mixtures,99.31,2.0
1,openai,0.395187277502208,0.5741007993130725,0.5000027663341062,0.5774647887323943,0.9273990392684937,0.8235013484954834,Mixtures,97.05,8.0
2,claude,0.3605739000574369,0.5644873411267725,0.5072313138152796,0.530214424951267,0.9191149473190308,0.8297576904296875,Mixtures,92.05,21.0
2,gemini,0.3248590833244305,0.5743656864196716,0.5006282453844211,0.5194805194805195,0.9098606705665588,0.8323825001716614,Mixtures,99.66,1.0
2,openai,0.3444178140602764,0.537969432188536,0.481041439061577,0.4666666666666666,0.9095056056976318,0.8284248113632202,Mixtures,77.78,58.0
