,,,,,,,,,,,,,,,,,,,,
,,,,,G10,E14,D14,B44,C44,D44,E44,F30,F31,,F33,F34,F35,F36,F37,
,Text,Chunk,Translation,Model,Word Count,APT,TQS,Neutral,Minor,Major,Critical,Term.: Accuracy,Term.: Consistency,Term.: Total,Acc.: Mistranslation,Acc.: Overtranslation,Acc.: Undertranslation,Acc.: Addition,Acc.: Omission,Acc.: Total
,Comp,1,T1,gemini,312,2,99.36,5,3,0,0,2,0,2,0,0,0,0,0,0
,Comp,1,T2,claude,303,0,100.00,4,2,0,0,0,0,0,0,0,0,0,0,0
,Comp,1,T3,openai,277,2,99.28,6,2,0,0,1,1,2,0,0,0,0,0,0
,Comp,2,T1,claude,304,34,88.82,2,5,1,1,28,0,28,5,0,1,0,0,6
,Comp,2,T2,openai,285,40,85.96,1,5,2,1,28,0,28,11,0,1,0,0,12
,Comp,2,T3,gemini,315,46,85.40,1,1,4,1,16,0,16,30,0,0,0,0,30
,Comp,3,T1,openai,311,106,65.92,1,5,1,4,26,0,26,80,0,0,0,0,80
,Comp,3,T2,gemini,333,39,88.29,0,4,3,1,6,1,7,30,2,0,0,0,32
,Comp,3,T3,claude,312,53,83.01,0,4,5,1,15,0,15,37,1,0,0,0,38
,Comp,4,T1,gemini,310,15,95.16,2,5,2,0,6,3,9,5,0,1,0,0,6
,Comp,4,T2,claude,283,29,89.75,0,6,0,1,28,0,28,0,0,1,0,0,1
,Comp,4,T3,openai,277,8,97.11,0,3,2,0,7,0,7,0,0,1,0,0,1
,Comp,5,T1,claude,310,32,89.68,1,2,2,1,27,0,27,5,0,0,0,0,5
,Comp,5,T2,openai,319,37,88.40,3,2,2,1,36,0,36,0,0,0,1,0,1
,Comp,5,T3,gemini,347,33,90.49,2,4,1,1,31,0,31,0,0,1,0,1,2
,Comp,6,T1,openai,234,10,95.73,0,6,2,0,6,1,7,1,1,1,0,0,3
,Comp,6,T2,gemini,260,11,95.77,1,2,2,0,5,0,5,5,1,0,0,0,6
,Comp,6,T3,claude,238,5,97.90,0,1,2,0,0,0,0,5,0,0,0,0,5
,Comp,7,T1,gemini,313,19,93.93,0,5,3,0,12,0,12,5,0,0,2,0,7
,Comp,7,T2,claude,277,16,94.22,0,1,3,0,10,0,10,5,0,0,1,0,6
,Comp,7,T3,openai,267,6,97.75,1,6,1,0,1,0,1,5,0,0,0,0,5
,Comp,8,T1,claude,298,233,21.81,3,8,0,9,233,0,233,0,0,0,0,0,0
,Comp,8,T2,openai,270,350,0.00,3,17,2,13,350,0,350,0,0,0,0,0,0
,Comp,8,T3,gemini,336,115,65.77,3,5,2,4,115,0,115,0,0,0,0,0,0
,Comp,9,T1,openai,268,46,82.84,1,6,3,1,15,0,15,6,0,0,0,25,31
,Comp,9,T2,gemini,277,14,94.95,0,4,2,0,8,0,8,6,0,0,0,0,6
,Comp,9,T3,claude,264,19,92.80,1,4,3,0,8,0,8,11,0,0,0,0,11
,Comp,10,T1,gemini,301,225,25.25,3,5,4,8,225,0,225,0,0,0,0,0,0
,Comp,10,T2,claude,301,138,54.15,2,3,2,5,138,0,138,0,0,0,0,0,0
,Comp,10,T3,openai,214,137,35.98,2,4,7,4,132,0,132,0,0,0,0,5,5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Current Parameters,,,,,,,,,,,,,,,,,,,
,MSV,100,,,,,,,,,,,,,,,,,,
,Term. Weight,1,,,,,,,,,,,,,,,,,,
,Acc. Weight,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,The parameters reference the values on the Template sheet,,,,,,,,,,,,,,,,,,,
,"To change the parameters, change the values on the Template sheet",,,,,,,,,,,,,,,,,,,
,RQS (Raw Quality Score) = MSV * (1 - APT / EWC),,,,,,,,,,,,,,,,,,,
