,,,,,,,,,,,,,,,,,,,,
,,,,,G10,E14,D14,B44,C44,D44,E44,F30,F31,,F33,F34,F35,F36,F37,
,Text,Chunk,Translation,Model,Word Count,APT,TQS,Neutral,Minor,Major,Critical,Term.: Accuracy,Term.: Consistency,Term.: Total,Acc.: Mistranslation,Acc.: Overtranslation,Acc.: Undertranslation,Acc.: Addition,Acc.: Omission,Acc.: Total
,Mixtures,1,T1,gemini,289,2,99.31,0,4,0,0,0,0,0,0,0,2,0,0,2
,Mixtures,1,T2,claude,272,9,96.69,0,5,1,0,0,5,5,1,0,3,0,0,4
,Mixtures,1,T3,openai,271,8,97.05,1,3,1,0,0,5,5,2,0,0,0,1,3
,Mixtures,2,T1,claude,264,21,92.05,1,1,4,0,5,10,15,6,0,0,0,0,6
,Mixtures,2,T2,openai,261,58,77.78,1,3,1,2,55,0,55,3,0,0,0,0,3
,Mixtures,2,T3,gemini,290,1,99.66,2,1,0,0,0,0,0,1,0,0,0,0,1
,Mixtures,3,T1,openai,285,7,97.54,0,2,1,0,0,0,0,6,0,0,0,1,7
,Mixtures,3,T2,gemini,315,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mixtures,3,T3,claude,296,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mixtures,4,T1,gemini,318,3,99.06,0,3,0,0,2,0,2,1,0,0,0,0,1
,Mixtures,4,T2,claude,285,10,96.49,1,5,1,0,4,0,4,6,0,0,0,0,6
,Mixtures,4,T3,openai,274,9,96.72,0,4,1,0,8,0,8,1,0,0,0,0,1
,Mixtures,5,T1,claude,271,8,97.05,1,8,0,0,4,2,6,0,1,0,1,0,2
,Mixtures,5,T2,openai,259,27,89.58,2,8,4,0,12,6,18,7,0,2,0,0,9
,Mixtures,5,T3,gemini,278,8,97.12,4,5,1,0,1,1,2,6,0,0,0,0,6
,Mixtures,6,T1,openai,258,32,87.60,1,3,1,1,0,0,0,30,1,1,0,0,32
,Mixtures,6,T2,gemini,273,27,90.11,1,2,0,1,0,0,0,26,0,1,0,0,27
,Mixtures,6,T3,claude,246,5,97.97,0,5,0,0,2,2,4,0,0,1,0,0,1
,Mixtures,7,T1,gemini,317,8,97.48,0,3,1,0,1,0,1,7,0,0,0,0,7
,Mixtures,7,T2,claude,276,8,97.10,1,3,1,0,1,0,1,7,0,0,0,0,7
,Mixtures,7,T3,openai,281,6,97.86,1,6,0,0,1,0,1,2,3,0,0,0,5
,Mixtures,8,T1,claude,270,14,94.81,1,7,3,0,0,10,10,2,1,1,0,0,4
,Mixtures,8,T2,openai,241,5,97.93,2,1,1,0,0,5,5,0,0,0,0,0,0
,Mixtures,8,T3,gemini,272,3,98.90,1,3,0,0,1,0,1,1,1,0,0,0,2
,Mixtures,9,T1,openai,290,20,93.10,2,5,4,0,15,0,15,1,0,4,0,0,5
,Mixtures,9,T2,gemini,314,23,92.68,0,9,4,0,17,0,17,1,0,5,0,0,6
,Mixtures,9,T3,claude,283,19,93.29,1,4,3,0,15,0,15,0,1,3,0,0,4
,Mixtures,10,T1,gemini,307,10,96.74,4,7,1,0,7,0,7,2,0,0,0,1,3
,Mixtures,10,T2,claude,274,8,97.08,3,5,2,0,7,0,7,0,1,0,0,0,1
,Mixtures,10,T3,openai,268,32,88.06,0,6,1,1,30,0,30,1,0,0,0,1,2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Current Parameters,,,,,,,,,,,,,,,,,,,
,MSV,100,,,,,,,,,,,,,,,,,,
,Term. Weight,1,,,,,,,,,,,,,,,,,,
,Acc. Weight,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,The parameters reference the values on the Template sheet,,,,,,,,,,,,,,,,,,,
,"To change the parameters, change the values on the Template sheet",,,,,,,,,,,,,,,,,,,
,RQS (Raw Quality Score) = MSV * (1 - APT / EWC),,,,,,,,,,,,,,,,,,,
