Chunk,Model,BLEU_J,BLEU_S,BLEU_Closer,chrF++_J,chrF++_S,chrF++_Closer,METEOR_J,METEOR_S,METEOR_Closer,ROUGE-L_J,ROUGE-L_S,ROUGE-L_Closer,BERT_J,BERT_S,BERT_Closer,BLEURT_J,BLEURT_S,BLEURT_Closer,COMET_J,COMET_S,COMET_Closer
1,Claude,30.2,31.0,S,57.9,58.4,S,55.8,55.0,J,61.3,59.6,J,92.4,92.9,S,56.3,54.1,J,80.3,82.6,S
1,Gemini,25.8,29.5,S,54.1,59.1,S,53.5,53.0,J,58.9,60.1,S,91.6,93.4,S,54.1,59.0,S,80.4,83.1,S
1,ChatGPT,27.4,26.0,J,53.8,57.4,S,50.0,49.4,J,55.3,57.7,S,91.4,92.7,S,49.1,52.4,S,79.7,82.4,S
2,Claude,24.1,24.3,S,56.1,56.4,S,50.2,50.7,S,52.2,53.0,S,91.7,91.9,S,46.1,51.7,S,83.0,81.5,J
2,Gemini,22.5,22.8,S,54.6,57.4,S,48.8,50.1,S,49.8,51.9,S,91.0,90.8,J,52.0,51.6,J,83.2,82.0,J
2,ChatGPT,22.5,22.5,S,52.6,53.8,S,47.4,48.1,S,46.6,46.7,S,91.0,91.0,J,47.3,49.2,S,82.3,82.8,S
3,Claude,17.1,16.8,J,52.6,50.3,J,47.5,44.1,J,49.9,46.2,J,90.8,90.1,J,45.0,41.6,J,77.2,79.2,S
3,Gemini,21.6,19.7,J,55.5,52.5,J,52.4,46.7,J,50.5,46.0,J,89.7,90.3,S,49.8,49.8,S,78.2,81.2,S
3,ChatGPT,19.5,15.8,J,52.0,47.8,J,47.6,41.7,J,45.6,42.5,J,89.8,90.3,S,46.0,43.6,J,77.9,80.7,S
4,Claude,13.2,21.0,S,50.8,49.5,J,43.0,45.1,S,46.9,51.0,S,89.9,90.2,S,53.3,46.4,J,75.1,77.2,S
4,Gemini,16.2,26.8,S,54.0,54.2,S,45.4,46.3,S,49.3,55.5,S,89.8,90.9,S,51.3,48.5,J,76.0,78.8,S
4,ChatGPT,15.7,18.6,S,52.8,49.1,J,40.2,41.7,S,44.3,47.2,S,89.1,89.6,S,49.5,46.0,J,76.1,78.8,S
5,Claude,26.1,15.8,J,53.7,50.8,J,43.1,37.5,J,53.3,44.3,J,91.1,89.8,J,46.3,44.8,J,77.4,76.7,J
5,Gemini,25.3,16.5,J,55.0,49.9,J,45.4,40.0,J,54.0,42.3,J,91.1,89.7,J,47.5,44.7,J,77.6,77.6,S
5,ChatGPT,18.9,13.8,J,49.7,47.1,J,36.5,36.5,S,48.0,40.1,J,90.1,88.9,J,45.6,46.1,S,75.1,76.5,S
6,Claude,34.7,22.9,J,62.4,52.1,J,48.9,41.8,J,67.4,55.4,J,93.3,91.2,J,54.4,46.9,J,79.7,78.9,J
6,Gemini,36.1,22.1,J,63.2,52.8,J,55.0,43.7,J,67.0,54.8,J,93.2,91.5,J,58.2,48.4,J,80.8,80.3,J
6,ChatGPT,31.0,25.4,J,61.8,55.3,J,54.7,47.9,J,62.1,55.6,J,93.1,91.8,J,57.5,49.1,J,80.9,80.8,J
7,Claude,23.7,21.9,J,55.5,53.4,J,48.2,47.0,J,57.4,51.2,J,92.1,91.4,J,52.9,50.8,J,79.5,81.6,S
7,Gemini,31.0,20.9,J,59.6,54.3,J,54.9,47.3,J,58.4,49.4,J,91.7,90.5,J,48.2,47.0,J,81.1,81.4,S
7,ChatGPT,19.8,22.3,S,51.7,52.1,S,43.5,50.9,S,51.9,50.6,J,91.0,90.6,J,51.5,50.2,J,79.4,80.5,S
8,Claude,27.8,16.4,J,57.1,46.5,J,47.4,40.7,J,57.5,42.3,J,91.4,89.8,J,46.8,48.8,S,78.0,77.8,J
8,Gemini,27.6,19.3,J,55.9,48.9,J,44.7,43.6,J,56.5,43.3,J,91.2,90.3,J,48.9,52.3,S,78.8,79.5,S
8,ChatGPT,19.5,18.3,J,49.8,46.7,J,38.8,41.0,S,50.8,43.6,J,89.8,89.8,S,46.8,49.7,S,76.6,78.4,S
9,Claude,23.4,21.0,J,52.7,51.5,J,44.3,49.7,S,50.0,50.6,S,91.2,91.2,J,46.7,45.4,J,78.7,80.1,S
9,Gemini,22.4,19.1,J,55.0,50.2,J,46.9,46.1,J,53.3,45.8,J,91.6,90.8,J,48.0,45.2,J,79.2,80.2,S
9,ChatGPT,23.3,21.3,J,52.5,51.3,J,47.7,46.9,J,51.3,48.2,J,91.5,91.1,J,47.8,42.2,J,78.2,79.7,S
10,Claude,22.8,15.1,J,53.9,50.5,J,48.1,42.0,J,51.8,47.7,J,90.5,91.1,S,45.7,48.0,S,77.2,78.8,S
10,Gemini,22.6,16.2,J,55.3,51.1,J,50.7,48.7,J,52.3,46.2,J,90.6,91.0,S,46.1,47.0,S,77.9,80.9,S
10,ChatGPT,18.2,17.5,J,52.5,52.3,J,46.1,39.5,J,47.9,47.9,J,90.4,91.1,S,46.5,48.1,S,76.9,78.3,S
