chunk,avg_zipf,min_zipf,rare_term_ratio,not_found_ratio,total_terms,rare_terms,not_found_terms,char_count,lemma_count
Head214_Chunk1,8.295147535506166,1.0,0.1527777777777778,0.125,216,33,27,1244,216
Head214_Chunk2,8.339837256726483,1.0,0.13744075829383887,0.11848341232227488,211,29,25,1255,211
Head214_Chunk3,8.45139098743077,1.0,0.11764705882352941,0.10294117647058823,204,24,21,1267,204
Head214_Chunk4,8.692360562539971,1.0,0.1036036036036036,0.07657657657657657,222,23,17,1340,222
Head214_Chunk5,8.38465170852731,1.0,0.15714285714285714,0.11904761904761904,210,33,25,1316,210
Head214_Chunk6,8.27191728596115,1.0,0.15178571428571427,0.13392857142857142,224,34,30,1329,224
Head214_Chunk7,8.350729387042664,1.0,0.15517241379310345,0.11206896551724138,232,36,26,1403,232
Head214_Chunk8,8.365525955223823,1.0,0.14009661835748793,0.11594202898550725,207,29,24,1183,207
Head214_Chunk9,8.64780461602414,1.0,0.0944206008583691,0.0815450643776824,233,22,19,1373,233
Head214_Chunk10,8.060110498461583,1.0,0.18777292576419213,0.14847161572052403,229,43,34,1390,229
Head224_Chunk1,8.35454306667359,1.0,0.14953271028037382,0.12149532710280374,214,32,26,1286,214
Head224_Chunk2,7.840292042600314,1.0,0.2324561403508772,0.15789473684210525,228,53,36,1484,228
Head224_Chunk3,8.10257011448942,1.0,0.2,0.13191489361702127,235,47,31,1534,235
Head224_Chunk4,8.363776349546365,1.0,0.17105263157894737,0.12280701754385964,228,39,28,1390,228
Head224_Chunk5,8.093885026198866,1.0,0.1926605504587156,0.14220183486238533,218,42,31,1448,218
Head224_Chunk6,8.42540128402676,1.0,0.17,0.115,200,34,23,1232,200
Head224_Chunk7,8.40064318080497,1.0,0.19313304721030042,0.10300429184549356,233,45,24,1476,233
Head224_Chunk8,6.240833865902639,1.0,0.39655172413793105,0.2974137931034483,232,92,69,1491,232
Head224_Chunk9,7.779256536266336,1.0,0.20535714285714285,0.16071428571428573,224,46,36,1481,224
Head224_Chunk10,5.782815757745976,1.0,0.4342105263157895,0.3333333333333333,228,99,76,1502,228
