Text,Chunk,Model,TQS,BLEU-4,BERTScore,COMET,Rating
Mix.,1,Claude,96.7,45.7%,92.9%,82.6%,HP
Mix.,1,Gemini,99.3,41.1%,93.4%,83.1%,HP
Mix.,1,ChatGPT,97.0,39.5%,92.7%,82.4%,HP
Mix.,2,Claude,92.0,36.1%,91.9%,83.0%,LP
Mix.,2,Gemini,99.7,32.5%,91.0%,83.2%,HP
Mix.,2,ChatGPT,77.8,34.4%,91.0%,82.8%,F
Mix.,3,Claude,100.0,24.4%,90.8%,79.2%,HP
Mix.,3,Gemini,100.0,30.1%,90.3%,81.2%,HP
Mix.,3,ChatGPT,97.5,24.2%,90.3%,80.7%,HP
Mix.,4,Claude,96.5,31.9%,90.2%,77.2%,HP
Mix.,4,Gemini,99.1,32.0%,90.9%,78.8%,HP
Mix.,4,ChatGPT,96.7,29.5%,89.6%,78.8%,HP
Mix.,5,Claude,97.0,32.2%,91.1%,77.4%,HP
Mix.,5,Gemini,97.1,32.2%,91.1%,77.6%,HP
Mix.,5,ChatGPT,89.6,24.6%,90.1%,76.5%,LP
Mix.,6,Claude,98.0,42.8%,93.3%,79.7%,HP
Mix.,6,Gemini,90.1,42.8%,93.2%,80.8%,LP
Mix.,6,ChatGPT,87.6,42.2%,93.1%,80.9%,LP
Mix.,7,Claude,97.1,33.6%,92.1%,81.6%,HP
Mix.,7,Gemini,97.5,38.8%,91.7%,81.4%,HP
Mix.,7,ChatGPT,97.9,32.3%,91.0%,80.5%,HP
Mix.,8,Claude,94.8,33.2%,91.4%,78.0%,LP
Mix.,8,Gemini,98.9,34.5%,91.2%,79.5%,HP
Mix.,8,ChatGPT,97.9,27.6%,89.8%,78.4%,HP
Mix.,9,Claude,93.3,33.1%,91.2%,80.1%,LP
Mix.,9,Gemini,92.7,29.5%,91.6%,80.2%,LP
Mix.,9,ChatGPT,93.1,33.6%,91.5%,79.7%,LP
Mix.,10,Claude,97.1,29.0%,91.1%,78.8%,HP
Mix.,10,Gemini,96.7,28.5%,91.0%,80.9%,HP
Mix.,10,ChatGPT,88.1,26.4%,91.1%,78.3%,LP
Comp.,1,Claude,100.0,24.8%,91.2%,79.3%,HP
Comp.,1,Gemini,99.4,20.0%,91.0%,80.1%,HP
Comp.,1,ChatGPT,99.3,19.3%,90.5%,78.0%,HP
Comp.,2,Claude,88.8,19.4%,90.4%,78.5%,LP
Comp.,2,Gemini,85.4,26.4%,91.3%,79.8%,F
Comp.,2,ChatGPT,86.0,21.6%,89.6%,75.8%,F
Comp.,3,Claude,83.0,16.2%,89.8%,75.8%,F
Comp.,3,Gemini,88.3,14.9%,89.2%,72.9%,LP
Comp.,3,ChatGPT,65.9,10.9%,89.2%,75.2%,F
Comp.,4,Claude,89.8,17.2%,91.0%,75.6%,LP
Comp.,4,Gemini,95.2,23.2%,91.0%,76.6%,HP
Comp.,4,ChatGPT,97.1,21.9%,90.8%,75.3%,HP
Comp.,5,Claude,89.7,16.8%,90.4%,77.0%,LP
Comp.,5,Gemini,90.5,14.9%,90.0%,77.7%,LP
Comp.,5,ChatGPT,88.4,16.9%,90.0%,77.2%,LP
Comp.,6,Claude,97.9,13.8%,90.5%,76.7%,HP
Comp.,6,Gemini,95.8,21.4%,91.1%,78.7%,HP
Comp.,6,ChatGPT,95.7,9.1%,90.2%,75.7%,HP
Comp.,7,Claude,94.2,18.8%,90.0%,79.9%,LP
Comp.,7,Gemini,93.9,13.9%,89.0%,78.7%,LP
Comp.,7,ChatGPT,97.8,17.6%,89.7%,78.0%,HP
Comp.,8,Claude,21.8,19.4%,86.8%,74.0%,F
Comp.,8,Gemini,65.8,18.0%,87.2%,74.7%,F
Comp.,8,ChatGPT,0.0,6.4%,85.3%,73.3%,F
Comp.,9,Claude,92.8,13.6%,89.6%,75.9%,LP
Comp.,9,Gemini,95.0,19.7%,90.3%,77.9%,LP
Comp.,9,ChatGPT,82.8,18.9%,90.5%,77.6%,F
Comp.,10,Claude,54.2,6.6%,86.7%,72.5%,F
Comp.,10,Gemini,25.2,17.6%,88.7%,75.6%,F
Comp.,10,ChatGPT,36.0,14.2%,85.0%,64.6%,F
