chunk,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,BLEURT,COMET,text,TQS,APT
1,claude,0.2476742109744587,0.5236371770720206,0.4476934172218647,0.4991568296795953,0.9115217328071594,0.4365091323852539,0.7932829856872559,Comp,100.0,0.0
1,gemini,0.1996474453740387,0.5200971424684653,0.4101879957559506,0.466887417218543,0.9099531173706056,0.4685556292533874,0.8013620376586914,Comp,99.36,2.0
1,openai,0.1927791756751777,0.4870206003329055,0.392741723995902,0.4436619718309859,0.905492901802063,0.4195497035980224,0.7796459794044495,Comp,99.28,2.0
2,claude,0.1937841119779673,0.5143907036943031,0.471509141214257,0.5249597423510466,0.9042202234268188,0.5417770743370056,0.7853947281837463,Comp,88.82,34.0
2,gemini,0.2635547498267357,0.5426767379691348,0.5150520137437234,0.5480314960629921,0.9129370450973512,0.5789934396743774,0.7977874279022217,Comp,85.4,46.0
2,openai,0.2164444602546785,0.4957144765877475,0.4638315954936669,0.4875621890547263,0.8955069780349731,0.4611681699752807,0.7584258317947388,Comp,85.96,40.0
3,claude,0.1622345903030502,0.4879393321557145,0.4210125939179699,0.4605873261205564,0.8981204628944397,0.4659031629562378,0.757960319519043,Comp,83.01,53.0
3,gemini,0.1492722334516551,0.4833741699664443,0.4185250155837729,0.4702380952380953,0.8920734524726868,0.4280182719230652,0.7289670705795288,Comp,88.29,39.0
3,openai,0.1089626771095285,0.4628599970622392,0.3901897900362607,0.4444444444444445,0.8917509913444519,0.4036817550659179,0.7520345449447632,Comp,65.92,106.0
4,claude,0.1722008602172172,0.5205823460504878,0.4391731526612656,0.4690117252931323,0.9096811413764954,0.4643354415893554,0.7564949989318848,Comp,89.75,29.0
4,gemini,0.2320487748645277,0.5369522584256763,0.4665571146618418,0.4847512038523274,0.909728467464447,0.4737249612808227,0.7662882804870605,Comp,95.16,15.0
4,openai,0.2190766492226029,0.5110002682813551,0.4271672673604186,0.4797297297297297,0.907642662525177,0.4671017527580261,0.7529981136322021,Comp,97.11,8.0
5,claude,0.1683966156439082,0.4895795463133073,0.4267687762529327,0.4285714285714286,0.9044652581214904,0.4168338775634765,0.7704689502716064,Comp,89.68,32.0
5,gemini,0.148536365164118,0.4730720262674864,0.4141536364993774,0.4153166421207658,0.8996868133544922,0.3708854019641876,0.7771337032318115,Comp,90.49,33.0
5,openai,0.1689397623229956,0.5001152359743738,0.4079584389388214,0.4386503067484662,0.9002916812896729,0.4000680446624756,0.7724477052688599,Comp,88.4,37.0
6,claude,0.137637857415321,0.4730829821869544,0.4370486955475122,0.4630738522954091,0.905235230922699,0.4444632530212402,0.7670793533325195,Comp,97.9,5.0
6,gemini,0.2139707880171853,0.5090970038484105,0.4533430225793838,0.4790874524714829,0.911162257194519,0.4726741313934326,0.7868227958679199,Comp,95.77,11.0
6,openai,0.090836297675734,0.4503042460438378,0.4223897435097739,0.3992015968063871,0.9016696810722352,0.4208871722221374,0.7571811676025391,Comp,95.73,10.0
7,claude,0.1875743456373458,0.5212077195583464,0.4655925303426889,0.5053763440860215,0.9004546999931335,0.4335309863090515,0.7986054420471191,Comp,94.22,16.0
7,gemini,0.1392867756785471,0.4942889174470009,0.4254136130955994,0.467005076142132,0.8898624181747437,0.4056417942047119,0.7872167825698853,Comp,93.93,19.0
7,openai,0.1762396808645856,0.499782691511436,0.376398974884929,0.4990825688073395,0.8974189162254333,0.4063132405281067,0.7800271511077881,Comp,97.75,6.0
8,claude,0.1940746557509406,0.4683863223051906,0.4422012382601248,0.4648117839607201,0.8683067560195923,0.4367133378982544,0.7403028011322021,Comp,21.81,233.0
8,gemini,0.1804997984863212,0.4687952852362486,0.4273111215391835,0.4420731707317072,0.8720570206642151,0.3914199769496918,0.7474029064178467,Comp,65.77,115.0
8,openai,0.0644087899235874,0.3644069911923623,0.3104110926667318,0.3350083752093802,0.8529568910598755,0.3756714761257171,0.7330279350280762,Comp,0.0,350.0
9,claude,0.1362608638448778,0.4804046832228235,0.4293668821730962,0.4826254826254826,0.8962362408638,0.4831207990646362,0.758519172668457,Comp,92.8,19.0
9,gemini,0.197152582543199,0.5444761264260165,0.5294155515431971,0.5320754716981132,0.9031203389167786,0.5171334743499756,0.7789207696914673,Comp,94.95,14.0
9,openai,0.1893417557069006,0.5492458508018273,0.5250895189881383,0.4818355640535373,0.9052199721336364,0.4731602072715759,0.7763361930847168,Comp,82.84,46.0
10,claude,0.0664204074575298,0.4583277041796136,0.3130535772940369,0.4809688581314879,0.8670254349708557,0.4982770681381225,0.7247992753982544,Comp,54.15,138.0
10,gemini,0.1761328943867083,0.5481053938281162,0.3821083099404266,0.4776632302405498,0.8870863318443298,0.4679794311523437,0.7563774585723877,Comp,25.25,225.0
10,openai,0.1418089392216853,0.4194604718992101,0.2918646737717397,0.5656565656565656,0.8502401113510132,0.4328463077545166,0.645913302898407,Comp,35.98,137.0
1,claude,0.4572089216039059,0.5842728410155418,0.5578790705961099,0.6133828996282528,0.9285278916358948,0.5628882646560669,0.8256305456161499,Mixtures,96.69,9.0
1,gemini,0.4106168583688129,0.5908252662994667,0.5345197703390749,0.6006825938566552,0.9338334202766418,0.5903801918029785,0.8314501047134399,Mixtures,99.31,2.0
1,openai,0.395187277502208,0.5741007993130725,0.5000027663341062,0.5774647887323943,0.9273990392684937,0.5235078930854797,0.8235013484954834,Mixtures,97.05,8.0
2,claude,0.360573900057437,0.5644873411267725,0.5072313138152796,0.530214424951267,0.9191149473190308,0.5168820023536682,0.8297576904296875,Mixtures,92.05,21.0
2,gemini,0.3248590833244306,0.5743656864196716,0.5006282453844211,0.5194805194805195,0.9098606705665588,0.5198280215263367,0.8323825597763062,Mixtures,99.66,1.0
2,openai,0.3444178140602764,0.537969432188536,0.481041439061577,0.4666666666666666,0.9095056056976318,0.4923999905586242,0.8284248113632202,Mixtures,77.78,58.0
3,claude,0.2442006325356828,0.5260989759127035,0.4753833394988038,0.499108734402852,0.9079549908638,0.4502583146095276,0.7921339273452759,Mixtures,100.0,0.0
3,gemini,0.3009342055196339,0.554967278227575,0.5241998278269341,0.5051546391752577,0.9030231833457948,0.4979128241539001,0.8116992115974426,Mixtures,100.0,0.0
3,openai,0.2420875615726336,0.5200682207233167,0.4761697143213018,0.4556962025316455,0.9031088948249816,0.4601901769638061,0.8070603609085083,Mixtures,97.54,7.0
4,claude,0.3190334153343629,0.5079508194217557,0.4512131457544476,0.5096153846153846,0.9023823738098145,0.5331422686576843,0.7722128629684448,Mixtures,96.49,10.0
4,gemini,0.3203152034335283,0.5415504153168635,0.4628965173387395,0.5545454545454546,0.9087885022163392,0.5129101872444153,0.7877301573753357,Mixtures,99.06,3.0
4,openai,0.2953408239180702,0.5275372696558205,0.4170468251998112,0.4724919093851132,0.8959963321685791,0.4945124387741089,0.7881810069084167,Mixtures,96.72,9.0
