Text,Ch.,Model,TQS,Rating,Crit.?,N,Mi,Ma,Cr
Mix.,1,Claude,96.7,HP,No,0,4,1,0
Mix.,1,Gemini,99.3,HP,No,0,2,0,0
Mix.,1,ChatGPT,97.0,HP,No,0,3,1,0
Mix.,2,Claude,92.0,LP,No,1,1,4,0
Mix.,2,Gemini,99.7,HP,No,1,1,0,0
Mix.,2,ChatGPT,77.8,F,Yes,1,3,1,2
Mix.,3,Claude,100.0,HP,No,0,0,0,0
Mix.,3,Gemini,100.0,HP,No,0,0,0,0
Mix.,3,ChatGPT,97.5,HP,No,0,2,1,0
Mix.,4,Claude,96.1,HP,No,1,6,1,0
Mix.,4,Gemini,99.1,HP,No,0,3,0,0
Mix.,4,ChatGPT,96.7,HP,No,0,4,1,0
Mix.,5,Claude,97.0,HP,No,1,8,0,0
Mix.,5,Gemini,97.1,HP,No,4,3,1,0
Mix.,5,ChatGPT,89.6,LP,No,2,7,4,0
Mix.,6,Claude,98.0,HP,No,0,5,0,0
Mix.,6,Gemini,90.1,LP,Yes,1,2,0,1
Mix.,6,ChatGPT,87.6,LP,Yes,1,2,1,1
Mix.,7,Claude,97.1,HP,No,1,3,1,0
Mix.,7,Gemini,97.5,HP,No,0,3,1,0
Mix.,7,ChatGPT,97.5,HP,No,1,7,0,0
Mix.,8,Claude,94.8,LP,No,1,4,2,0
Mix.,8,Gemini,98.9,HP,No,1,3,0,0
Mix.,8,ChatGPT,97.9,HP,No,2,0,1,0
Mix.,9,Claude,93.3,LP,No,1,4,3,0
Mix.,9,Gemini,92.7,LP,No,0,8,3,0
Mix.,9,ChatGPT,93.1,LP,No,2,5,3,0
Mix.,10,Claude,97.1,HP,No,3,3,1,0
Mix.,10,Gemini,96.7,HP,No,4,5,1,0
Mix.,10,ChatGPT,88.1,LP,Yes,0,2,1,1
Comp.,1,Claude,100.0,HP,No,4,0,0,0
Comp.,1,Gemini,99.4,HP,No,5,2,0,0
Comp.,1,ChatGPT,99.3,HP,No,6,2,0,0
Comp.,2,Claude,88.8,LP,Yes,2,4,1,1
Comp.,2,Gemini,85.4,F,Yes,1,1,4,1
Comp.,2,ChatGPT,86.0,F,Yes,1,5,2,1
Comp.,3,Claude,83.0,F,Yes,0,3,5,1
Comp.,3,Gemini,88.3,LP,Yes,0,4,2,1
Comp.,3,ChatGPT,65.9,F,Yes,0,1,1,4
Comp.,4,Claude,89.8,LP,Yes,0,4,0,1
Comp.,4,Gemini,95.2,HP,No,2,5,2,0
Comp.,4,ChatGPT,97.1,HP,No,0,3,1,0
Comp.,5,Claude,89.7,LP,Yes,1,2,1,1
Comp.,5,Gemini,90.5,LP,Yes,2,3,1,1
Comp.,5,ChatGPT,88.4,LP,Yes,3,2,2,1
Comp.,6,Claude,97.9,HP,No,0,0,1,0
Comp.,6,Gemini,95.8,HP,No,1,1,2,0
Comp.,6,ChatGPT,95.7,HP,No,0,5,1,0
Comp.,7,Claude,94.2,LP,No,0,1,3,0
Comp.,7,Gemini,93.9,LP,No,0,4,3,0
Comp.,7,ChatGPT,97.8,HP,No,1,1,1,0
Comp.,8,Claude,21.8,F,Yes,3,8,0,9
Comp.,8,Gemini,65.8,F,Yes,3,5,2,4
Comp.,8,ChatGPT,0.0,F,Yes,3,15,2,13
Comp.,9,Claude,92.8,LP,No,0,4,3,0
Comp.,9,Gemini,94.9,LP,No,0,4,2,0
Comp.,9,ChatGPT,82.8,F,Yes,1,6,3,1
Comp.,10,Claude,54.2,F,Yes,2,3,2,5
Comp.,10,Gemini,25.2,F,Yes,2,5,4,8
Comp.,10,ChatGPT,36.0,F,Yes,2,2,7,4
