chunk_id,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,COMET
1,claude,0.45720892160390597,0.5842728410155418,0.5578790705961099,0.6133828996282528,0.9285278916358948,0.8256305456161499
1,gemini,0.41061685836881295,0.5908252662994667,0.5345197703390749,0.6006825938566552,0.9338334202766418,0.8314502239227295
1,openai,0.39518727750220806,0.5741007993130725,0.5000027663341062,0.5774647887323943,0.9273990392684937,0.8235013484954834
2,claude,0.3605739000574369,0.5644873411267725,0.5072313138152796,0.530214424951267,0.9191149473190308,0.8297576904296875
2,gemini,0.3248590833244305,0.5743656864196716,0.5006282453844211,0.5194805194805195,0.9098606705665588,0.8323825001716614
2,openai,0.34441781406027644,0.537969432188536,0.48104143906157704,0.4666666666666666,0.9095056056976318,0.8284248113632202
3,claude,0.2442006325356828,0.5260989759127035,0.4753833394988038,0.499108734402852,0.9079548716545105,0.7921340465545654
3,gemini,0.30093420551963396,0.554967278227575,0.5241998278269341,0.5051546391752577,0.9030233025550842,0.8116991519927979
3,openai,0.24208756157263367,0.5200682207233167,0.47616971432130184,0.45569620253164556,0.9031089544296265,0.8070604205131531
4,claude,0.3190334153343629,0.5079508194217557,0.45121314575444765,0.5096153846153846,0.9023823142051697,0.7722128629684448
4,gemini,0.3203152034335283,0.5415504153168635,0.4628965173387395,0.5545454545454546,0.9087884426116943,0.7877300977706909
4,openai,0.2953408239180702,0.5275372696558205,0.41704682519981123,0.47249190938511326,0.8959963321685791,0.7881810069084167
5,claude,0.3218966657030664,0.5369642402565469,0.43089628275496095,0.5331010452961672,0.910563588142395,0.7735110521316528
5,gemini,0.322493989522374,0.5501780384333264,0.4540048263656178,0.540447504302926,0.9112371206283569,0.7760371565818787
5,openai,0.24590966113237048,0.4968145842425597,0.36544385027931525,0.4795737122557726,0.9005216360092163,0.7652938365936279
6,claude,0.42788226623380915,0.6243511200058942,0.4886012799372541,0.6744639376218323,0.9326525330543518,0.7973542213439941
6,gemini,0.4281693964039958,0.6318697530082567,0.5497407283548726,0.6703910614525139,0.932435154914856,0.8080106377601624
6,openai,0.42164808391738773,0.6182622761249436,0.5474211725145438,0.6209523809523808,0.9308294057846069,0.8085702061653137
7,claude,0.33626655614904066,0.5553999706143813,0.48194764917847566,0.5739130434782608,0.9206250905990601,0.8161590695381165
7,gemini,0.38750402238611314,0.5961908899950531,0.5491401419478578,0.5844155844155844,0.9167500138282776,0.8138812184333801
7,openai,0.323026094911044,0.5210608260199902,0.5088944837873557,0.5189003436426116,0.9100964665412903,0.8054795861244202
8,claude,0.33195978735431053,0.5711268970003656,0.4741102140052019,0.5745454545454546,0.91416335105896,0.7803630232810974
8,gemini,0.3450902300412744,0.5592553252379795,0.4470516353256441,0.5652173913043478,0.9118974208831787,0.7945138216018677
8,openai,0.2759542062071511,0.4975401611250774,0.4095701917130488,0.5076923076923078,0.8983163237571716,0.7836991548538208
9,claude,0.33069399241842407,0.5266762072872477,0.4972386278051036,0.5059422750424448,0.9124798774719238,0.8011190891265869
9,gemini,0.29547341036031965,0.5497645601146739,0.46945404357528153,0.5331179321486268,0.9159966111183167,0.8018559217453003
9,openai,0.33591432233044727,0.5248521218062198,0.4771686522919042,0.5134228187919464,0.9146443009376526,0.7972440719604492
10,claude,0.2900415525806781,0.5389065672536573,0.4813615943105579,0.5178875638841567,0.9110112190246582,0.7880406379699707
10,gemini,0.2852461880146896,0.5533996920362501,0.5074018501289201,0.5234248788368338,0.90981125831604,0.8086382150650024
10,openai,0.2637390061914596,0.5247760004467125,0.4608345127552478,0.4794520547945206,0.9107146263122559,0.7829499244689941
