ID,Expert Name,Areas of Expertise,Other Expertise (Specify),Galen Experience Level,Chunk ID,Preference Score,Preferred Source,Left Translation,Right Translation,Time Spent (s),Comment,Completed At
c2589c94f3ab2f33,Expert_08,Other,,2,1,-1,human2,human2,openai,528,,2025-12-07T23:24:31.717Z
7a90ca367f2596d1,Expert_08,Other,,2,10,-2,gemini,gemini,human1,320,,2025-12-07T23:24:31.717Z
aeb2f58dd65ef983,Expert_08,Other,,2,3,0,neutral,human2,claude,373,,2025-12-07T23:24:31.717Z
ccd2e6e6b56f8529,Expert_08,Other,,2,5,0,neutral,openai,human2,219,,2025-12-07T23:24:31.717Z
bc372c28098cbbd2,Expert_08,Other,,2,9,-1,gemini,gemini,human1,197,,2025-12-07T23:24:31.717Z
1711359404138ee9,Expert_08,Other,,2,4,1,claude,human1,claude,220,,2025-12-07T23:24:31.717Z
a40be8a402e155bf,Expert_08,Other,,2,7,1,openai,human1,openai,136,,2025-12-07T23:24:31.717Z
1318619c1162caf7,Expert_08,Other,,2,8,0,neutral,human2,gemini,147,,2025-12-07T23:24:31.717Z
eb5dad6517c4f8c4,Expert_08,Other,,2,6,0,neutral,claude,human2,3660,,2025-12-07T23:24:31.717Z
5fb8e8bbf0ebaf9c,Expert_08,Other,,2,2,0,neutral,human2,openai,145,,2025-12-07T23:24:31.717Z
cd262c71e094f065,Expert_05,Greek Science,,4,4,-1,human2,human2,claude,113,,2025-12-18T07:26:06.944Z
a9e2bbe42be2885f,Expert_05,Greek Science,,4,2,1,openai,human2,openai,37,,2025-12-18T07:26:06.944Z
1fe098b872ac98bd,Expert_05,Greek Science,,4,8,-1,gemini,gemini,human2,23,,2025-12-18T07:26:06.944Z
a9aaa487d1bb1ade,Expert_05,Greek Science,,4,10,-1,human1,human1,claude,84,,2025-12-18T07:26:06.944Z
740d8690f44ed95d,Expert_05,Greek Science,,4,5,1,human1,openai,human1,119,,2025-12-18T07:26:06.944Z
cc584ed9451c5652,Expert_05,Greek Science,,4,7,-1,gemini,gemini,human2,53,,2025-12-18T07:26:06.944Z
b3cf43f6098d3b84,Expert_05,Greek Science,,4,1,1,claude,human2,claude,66,,2025-12-18T07:26:06.944Z
47f6c3f2f9f296a7,Expert_05,Greek Science,,4,6,-1,openai,openai,human1,55,,2025-12-18T07:26:06.944Z
feaad0191045e7b9,Expert_05,Greek Science,,4,9,-1,gemini,gemini,human2,47,,2025-12-18T07:26:06.944Z
9c49289111f1c489,Expert_05,Greek Science,,4,3,-1,human2,human2,claude,49,,2025-12-18T07:26:06.944Z
1ac9111bd81bc573,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,3,1,human1,gemini,human1,288,,2025-12-23T15:28:30.738Z
cbde33e67a59619e,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,6,1,claude,human2,claude,27,,2025-12-23T15:28:30.738Z
c2062e8f2bf7e163,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,7,1,openai,human2,openai,186,,2025-12-23T15:28:30.738Z
7d00c7a7669e5edf,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,2,-1,human1,human1,gemini,23,,2025-12-23T15:28:30.738Z
9c086f0b9f0534fc,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,10,-2,claude,claude,human1,22,,2025-12-23T15:28:30.738Z
085f1f0524b11d37,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,4,2,openai,human2,openai,16,,2025-12-23T15:28:30.738Z
69070444a7fcaccd,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,8,-1,gemini,gemini,human1,30,,2025-12-23T15:28:30.738Z
1e50f046754ecd4f,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,4,-1,human2,human2,claude,153,,2025-11-30T23:31:03.023Z
144f4fb893a91037,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,7,1,human1,gemini,human1,45,,2025-11-30T23:31:03.023Z
82413f341399cc4a,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,3,0,neutral,openai,human1,86,,2025-11-30T23:31:03.023Z
6d3d1e2434151e93,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,1,-2,claude,claude,human1,69,,2025-11-30T23:31:03.023Z
ff9938594b9fd7c9,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,6,0,neutral,gemini,human1,63,,2025-11-30T23:31:03.023Z
b79ae3f87748a7ed,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,5,2,openai,human1,openai,97,,2025-11-30T23:31:03.023Z
2e7e2a7e8e73436c,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,2,0,neutral,human1,claude,82,,2025-11-30T23:31:03.023Z
bd4a64584e7c3cd6,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,8,2,gemini,human1,gemini,32,,2025-11-30T23:31:03.023Z
b28599752fe4d2f0,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,9,1,openai,human1,openai,135,,2025-11-30T23:31:03.023Z
bd1233496d611c20,Expert_02,Greek Philosophy; Greek Medicine; Galen,,5,10,-2,claude,claude,human1,80,,2025-11-30T23:31:03.023Z
7f989f55a1cf292e,Expert_13,Greek Science,,4,6,2,gemini,human2,gemini,55,,2025-12-01T09:45:56.859Z
765dc4f41230f8ba,Expert_13,Greek Science,,4,5,-2,human1,human1,claude,28,,2025-12-01T09:45:56.859Z
f8138a2f00a8163d,Expert_13,Greek Science,,4,8,-2,human2,human2,openai,8,,2025-12-01T09:45:56.859Z
940281ff34abeb99,Expert_13,Greek Science,,4,10,1,human2,gemini,human2,11,,2025-12-01T09:45:56.859Z
285aae904b945ce4,Expert_13,Greek Science,,4,9,1,claude,human1,claude,32,,2025-12-01T09:45:56.859Z
debd3065851dcd77,Expert_13,Greek Science,,4,1,-1,human2,human2,openai,13,,2025-12-01T09:45:56.859Z
8671bb29f4273394,Expert_13,Greek Science,,4,3,1,human1,gemini,human1,15,,2025-12-01T09:45:56.859Z
51a4a3e8a42f6cbe,Expert_13,Greek Science,,4,2,-1,human2,human2,claude,7,,2025-12-01T09:45:56.859Z
27ed08b365749cda,Expert_13,Greek Science,,4,4,0,neutral,openai,human2,27,,2025-12-01T09:45:56.859Z
bca5d8a30caaa04f,Expert_13,Greek Science,,4,7,-2,human1,human1,gemini,5,,2025-12-01T09:45:56.859Z
2db29ea651d8b37a,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,9,-1,claude,claude,human2,8,,2025-12-23T15:28:30.738Z
d9003cb79107e519,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,1,-1,human1,human1,openai,16,,2025-12-23T15:28:30.738Z
40e7b3f5f8cad4c0,Expert_11,Greek Medicine; Post-Antique History of Medicine; Galen,,5,5,-1,gemini,gemini,human1,14,,2025-12-23T15:28:30.738Z
8e819f9b78784a09,Expert_10,Greek Medicine,,5,8,-1,human2,human2,gemini,61,,2026-01-02T22:04:46.086Z
2b87e3cb27c6d0e5,Expert_01,Greek Medicine,,5,3,-2,claude,claude,human1,336,"B has some awkward bits, doesn't translate eukratic which it perfectly can, 'equal coming together of the opposites' is unclear and 'characteristic nature' also needs unpacking",2026-01-04T11:48:45.219Z
f4803c4c3b3bc3e5,Expert_01,Greek Medicine,,5,5,2,openai,human1,openai,367,"A just has misunderstandings ('from the functions'?), and less good word choices (e.g. 'wet')",2026-01-04T11:48:45.219Z
0ca871804cf1f848,Expert_01,Greek Medicine,,5,10,2,human2,gemini,human2,127,A has mistakes and awkward choices - first sentence is very much misunderstood,2026-01-04T11:48:45.219Z
f4254b705de364de,Expert_01,Greek Medicine,,5,4,2,claude,human1,claude,590,just better written than A; A translates dryness of the skin instead of hardness at the beginning and leaves eukratic untranslated/uninterpreted,2026-01-04T11:48:45.219Z
da6a76bcbbc92714,Expert_01,Greek Medicine,,5,8,1,openai,human2,openai,268,"A mixes hard and dry; but I prefer the automatic 'like ceramic pots' for ostrakodermos which is the first meaning of ostracon, a piece of pottery-clay; 'shell' is already a metaphor",2026-01-04T11:48:45.219Z
941c76ed5cac5571,Expert_01,Greek Medicine,,5,1,0,neutral,gemini,human2,436,"A says 'ancient men' for ancients, which is worse than 'men of ancient times' - both not great. Also '(the argument continues)' is not needed ",2026-01-04T11:48:45.219Z
4d4fc63dddb45539,Expert_01,Greek Medicine,,5,6,2,claude,human2,claude,155,"A translates chumoi with fluids which is not good, especially as 'fluid' is a quality later; and in fact, at the end 'fluid' is better than 'wet' for the object of sensorial appraisal, and the English 'reasoning faculty' is too specific-philosophical for what logismos means here.",2026-01-04T11:48:45.219Z
7ada041f098be230,Expert_15,Post-Antique History of Medicine,,7,9,0,neutral,human2,claude,218,,2026-01-06T18:27:05.567Z
af18619ccdd245d1,Expert_14,Greek Philosophy,,3,6,-1,openai,openai,human2,179,"B is interesting in that it takes τι μέσον ἀμφοῖν σῶμα to be distinct from cartilage, but I don't really think that's right.",2025-12-05T16:59:21.904Z
289ce85bcace0c7c,Expert_14,Greek Philosophy,,3,8,-2,human2,human2,claude,7,"""A"" mistranslates dry as hard at one point, but this seems to be a translation slip caused by the reasoning of the argument itself. I also don't like how A begins, switching from sharp and hooked nose as subject to possessors of snub noses as subject. But it is still much better than B, which misconstrues physis and doesn't get the etymology of ostrakoderma.",2025-12-05T16:59:21.904Z
532f40ff5a264bbb,Expert_14,Greek Philosophy,,3,2,1,human2,gemini,human2,590,"I think both passages get the sense of the arguments, but B has better word choice and is more adaptive (so more fluent).",2025-12-05T16:59:21.904Z
8d5d65fe3459e70c,Expert_14,Greek Philosophy,,3,3,-2,human2,human2,openai,78,The freer translation of A makes it easier to follow the argument,2025-12-05T16:59:21.904Z
c194833d3213d2cc,Expert_14,Greek Philosophy,,3,1,-1,claude,claude,human1,47,"I think A correctly translates οὐκ ἴση πάντων ἐστὶν ἐν τῇ κράσει μοῖρα, though B is better elsewhere (ὁπόσαι τ’ εἰσὶ καὶ ὁποῖαι κατ’ εἴδη τε καὶ γένη διαιρουμένοις) and more fluent throughout.",2025-12-05T16:59:21.904Z
34be8780771f26bf,Expert_14,Greek Philosophy,,3,10,2,gemini,human1,gemini,338,"B better follows the argument (e.g. at εὐκαταφρόνητα δήπουθέν ἐστι καὶ τῷ μηδ’ εἶναι φάσκοντι τὰ τοιαῦτα συγχωρητέον and at ὥστ’ εὐλόγως ἄμφω τοῖς τοιούτοις ἐδέσμασιν ὑπάρχει τὸ θ’ ὡς φαρμάκοις διατιθέναι τὰ σώμαθ’ ἡμῶν καὶ τὸ τρέφειν, παρ’ ὅλον μὲν τὸν χρόνον τῆς πέψεως ὡς φαρμάκοις)",2025-12-05T16:59:21.904Z
54ba6cfaf62dc055,Expert_14,Greek Philosophy,,3,5,2,openai,human1,openai,104,"Didn't know why B translates ὑγρῶν as thin at one point (maybe in the sense of watery as loose?), but A on that line weirdly overtranslates as ablative absolute and ἀχυμώτων as not yet having changed flavor (which I didn't think it can mean). Also didn't know why B translates ἀποψυχομένων transitively as cooling rather than passively as being cooled, but I'm completely ignorant of Galen's view on this. But B follows the flow of the argument (proton, epeita) while A does not.",2025-12-05T16:59:21.904Z
071e3f2996bded75,Expert_14,Greek Philosophy,,3,7,2,human2,claude,human2,126,I agree with B on how to take πλέον ἢ δεῖ ξηρανθέν. ,2025-12-05T16:59:21.904Z
2f2efea1851fdc11,Expert_14,Greek Philosophy,,3,9,2,gemini,human1,gemini,307,B better narrates the thauma,2025-12-05T16:59:21.904Z
06f80b15471c2959,Expert_14,Greek Philosophy,,3,4,2,openai,human1,openai,80,A misunderstands μυελὸς ἐγκέφαλός τε καὶ νωτιαῖος,2025-12-05T16:59:21.904Z
23dad2b2c27f4935,Expert_12,Galen; Other; Greek Philosophy,,7,5,-1,gemini,gemini,human2,799,,2025-12-24T13:23:00.993Z
bd2a1b92a0637c39,Expert_12,Galen; Other; Greek Philosophy,,7,10,2,openai,human2,openai,508,,2025-12-24T13:23:00.993Z
4ac7f3c41e2a5df0,Expert_12,Galen; Other; Greek Philosophy,,7,1,-1,claude,claude,human2,391,,2025-12-24T13:23:00.993Z
0fdfca43438c9968,Expert_12,Galen; Other; Greek Philosophy,,7,3,1,gemini,human1,gemini,593,,2025-12-24T13:23:00.993Z
6c8421011120bc1d,Expert_12,Galen; Other; Greek Philosophy,,7,6,0,neutral,human2,openai,1279,,2025-12-24T13:23:00.993Z
41e9612898ef5c5f,Expert_12,Galen; Other; Greek Philosophy,,7,2,1,human2,claude,human2,1348,,2025-12-24T13:23:00.993Z
cd55354d86879e62,Expert_12,Galen; Other; Greek Philosophy,,7,7,1,gemini,human1,gemini,732,,2025-12-24T13:23:00.993Z
3048276836e33762,Expert_12,Galen; Other; Greek Philosophy,,7,4,0,neutral,human2,openai,403,,2025-12-24T13:23:00.993Z
9977424a2aefe2e8,Expert_12,Galen; Other; Greek Philosophy,,7,9,1,claude,human1,claude,2181,,2025-12-24T13:23:00.993Z
ff56c9683ff5ae68,Expert_12,Galen; Other; Greek Philosophy,,7,8,-1,gemini,gemini,human2,510,,2025-12-24T13:23:00.993Z
3f3dca7d5247ce29,Expert_04,Greek Philosophy,,3,2,1,gemini,human1,gemini,10,,2025-12-27T23:42:47.500Z
b19583e18ec880ad,Expert_04,Greek Philosophy,,3,7,-1,claude,claude,human1,1640,,2025-12-27T23:42:47.500Z
6b48ed7791d377e5,Expert_04,Greek Philosophy,,3,10,-1,human2,human2,openai,519,,2025-12-27T23:42:47.500Z
3edfc8c605ca44dd,Expert_04,Greek Philosophy,,3,8,1,gemini,human1,gemini,471,,2025-12-27T23:42:47.500Z
a5302d3ca5dd2377,Expert_04,Greek Philosophy,,3,9,1,human2,claude,human2,129,,2025-12-27T23:42:47.500Z
ef427b350f8f775f,Expert_04,Greek Philosophy,,3,4,-1,openai,openai,human1,236,,2025-12-27T23:42:47.500Z
fc2a532be76ea5de,Expert_04,Greek Philosophy,,3,5,-1,human2,human2,gemini,784,,2025-12-27T23:42:47.500Z
01f52a78071bb63f,Expert_04,Greek Philosophy,,3,6,0,neutral,human2,claude,306,,2025-12-27T23:42:47.500Z
78d94b0058b930a6,Expert_04,Greek Philosophy,,3,1,-1,human2,human2,openai,188,,2025-12-27T23:42:47.500Z
dfa5d743348e06d4,Expert_04,Greek Philosophy,,3,3,1,human1,gemini,human1,7,,2025-12-27T23:42:47.500Z
bea79f176e1da1fe,Expert_10,Greek Medicine,,5,3,0,neutral,gemini,human1,73,"I don't like the choice of including ""eukratic"" in B. But I like other aspects of this translation better than A, particularly its final sentence.",2026-01-02T22:04:46.086Z
cf26019ea08143de,Expert_10,Greek Medicine,,5,10,1,human2,claude,human2,57,,2026-01-02T22:04:46.086Z
2a52e5af20a4de4c,Expert_10,Greek Medicine,,5,9,-2,openai,openai,human2,51,,2026-01-02T22:04:46.086Z
